timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
144,1,[3],"const(MSEUr, Q3)","const(DTUr, Q2)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.33
145,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.328
145,1,[3],"const(MSEUr, Q3)","const(DTUr, Q2)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.328
146,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.327
146,1,[3],"const(MSEUr, Q3)","const(DTUr, Q2)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.327
147,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.325
147,1,[3],"const(MSEUr, Q3)","const(DTUr, Q2)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.325
148,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","dec(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.324
149,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.323
150,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.32
151,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.319
152,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","inc(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.317
152,1,[3],"const(MSEUr, Q3)","const(DTUr, Q1)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.317
153,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.316
153,1,[3],"const(MSEUr, Q3)","const(DTUr, Q1)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.316
154,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.315
154,1,[3],"const(MSEUr, Q3)","const(DTUr, Q1)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.315
155,0,"[0, 1, 2, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0], [1, 2, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.313
155,1,[3],"const(MSEUr, Q4)","const(DTUr, Q1)","[[], [3]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.313
